IDpol,ClaimNb,Exposure,Area,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region,ClaimAmount
3131.0,1,0.74,E,10,0,61,72,B12,'Regular',5433,R93,1219.51
3227.0,1,0.96,E,6,7,47,50,B4,'Regular',2498,R72,984.07
3280.0,1,0.75,A,9,0,54,50,B12,'Regular',34,R26,3647.26
3351.0,1,0.47,E,4,0,51,50,B12,'Regular',2580,R72,1183.63
3362.0,1,0.85,D,4,0,26,80,B12,'Regular',610,R91,4166.79
3407.0,1,0.93,F,9,0,68,50,B12,'Regular',17140,R11,1096.52
3468.0,2,0.81,C,10,0,53,50,B12,'Diesel',112,R93,235.64
3468.0,2,0.81,C,10,0,53,50,B12,'Diesel',112,R93,556.14
3801.0,1,0.86,D,10,4,53,50,B12,'Regular',1693,R82,5451.29
3895.0,1,0.39,C,7,8,29,60,B1,'Regular',325,R41,6239.07
3897.0,1,0.69,E,4,0,43,50,B12,'Regular',3317,R93,12555.36
3940.0,1,0.48,E,10,0,48,50,B12,'Diesel',9307,R82,1551.38
4094.0,1,0.26,B,12,3,28,76,B12,'Diesel',59,R11,1309.81
4178.0,1,0.75,A,5,0,36,50,B12,'Regular',17,R94,326.57
4214.0,1,0.55,F,8,8,51,100,B12,'Regular',27000,R11,409.13
4232.0,2,0.66,F,7,0,51,50,B12,'Regular',27000,R11,532.4
4232.0,2,0.66,F,7,0,51,50,B12,'Regular',27000,R11,941.39
4263.0,1,0.65,C,10,7,27,76,B12,'Diesel',162,R52,549.21
4376.0,1,0.24,E,5,6,28,68,B3,'Diesel',3317,R93,433.89
4663.0,1,0.49,F,11,0,39,76,B12,'Diesel',27000,R11,1746.38
4718.0,1,0.51,D,6,0,35,64,B12,'Regular',949,R24,575.19
5038.0,1,0.59,E,7,5,30,85,B12,'Diesel',3744,R93,1440.4
5062.0,1,0.54,F,5,0,25,80,B3,'Diesel',10961,R11,1405.75
5170.0,1,0.52,C,4,10,27,100,B2,'Regular',376,R93,787.66
5181.0,1,0.57,D,5,2,26,100,B12,'Diesel',1412,R83,191.15
5244.0,1,0.01,A,12,4,69,50,B12,'Diesel',7,R93,5340.29
5246.0,1,0.57,E,11,0,37,50,B12,'Regular',3430,R93,378.33
5319.0,2,0.42,D,11,0,45,50,B12,'Diesel',1248,R11,553.64
5319.0,2,0.42,D,11,0,45,50,B12,'Diesel',1248,R11,16451.223999999962
5477.0,1,0.45,C,7,0,49,50,B12,'Diesel',113,R91,830.36
5741.0,1,0.47,E,7,0,32,80,B12,'Regular',3317,R93,3950.26
5973.0,1,0.52,E,9,0,34,100,B12,'Regular',9307,R82,1662.96
6031.0,1,0.46,D,6,5,47,70,B5,'Diesel',1021,R25,680.7
6109.0,1,0.39,D,11,6,46,50,B1,'Diesel',1422,R82,600.21
6242.0,1,0.5,D,9,0,34,55,B12,'Regular',824,R91,594.76
6294.0,1,0.43,D,6,8,23,100,B1,'Diesel',800,R72,83.14
6331.0,1,0.44,C,7,0,43,50,B12,'Regular',188,R22,553.22
6375.0,1,0.47,B,7,4,46,50,B6,'Regular',56,R11,2031.77
6477.0,1,0.29,F,6,0,42,90,B12,'Regular',17140,R11,893.56
6575.0,1,0.26,E,5,6,32,71,B1,'Regular',3274,R11,90.24
6785.0,1,0.44,D,6,0,41,51,B12,'Regular',1370,R73,581.21
6886.0,1,0.42,E,6,0,41,75,B2,'Diesel',3744,R93,83.87
6937.0,2,0.43,E,5,8,18,100,B5,'Diesel',2498,R72,81.14
6937.0,2,0.43,E,5,8,18,100,B5,'Diesel',2498,R72,1093.86
7123.0,1,0.46,C,7,0,44,58,B12,'Diesel',458,R93,579.14
7222.0,1,0.27,D,5,2,55,50,B12,'Diesel',966,R26,407.09
7232.0,1,0.14,D,6,0,31,51,B12,'Regular',675,R91,891.75
7330.0,1,0.21,E,4,3,36,100,B1,'Regular',2537,R31,647.34
7465.0,1,0.26,C,15,10,36,50,B12,'Regular',256,R82,2101.04
7489.0,1,0.38,E,7,2,33,100,B2,'Diesel',5460,R11,74.23
7652.0,1,0.35,E,6,0,73,58,B12,'Regular',4762,R93,2767.64
7655.0,1,0.36,C,5,0,53,64,B12,'Regular',102,R93,734.81
7741.0,1,0.26,B,6,2,56,50,B12,'Diesel',97,R52,626.68
7757.0,1,0.35,A,10,1,54,66,B12,'Regular',20,R82,742.73
7779.0,1,0.24,D,8,4,28,68,B12,'Regular',824,R91,79.86
7924.0,1,0.26,E,6,3,45,50,B12,'Regular',2618,R22,746.84
8077.0,1,0.33,C,7,9,49,50,B12,'Diesel',330,R93,72.93
8092.0,1,0.25,D,4,0,31,60,B12,'Regular',653,R82,712.13
8652.0,1,0.25,C,10,1,56,50,B12,'Regular',159,R91,564.45
8912.0,1,0.12,E,7,0,75,50,B12,'Regular',6902,R41,1449.64
9501.0,1,0.19,C,4,0,51,50,B12,'Regular',100,R54,1037.95
9589.0,1,0.14,F,5,0,60,50,B12,'Regular',12750,R11,1181.77
9954.0,1,0.14,D,4,7,78,62,B6,'Regular',1541,R91,1284.45
9993.0,1,0.2,B,7,4,22,100,B5,'Regular',53,R26,1826.34
10175.0,1,0.12,D,5,0,25,72,B12,'Regular',515,R54,343.21
10741.0,1,0.07,B,10,10,24,80,B12,'Regular',72,R72,6241.73
16650.0,1,1.0,C,8,9,56,50,B6,'Diesel',272,R72,1128.12
16661.0,1,1.0,D,7,1,63,50,B1,'Diesel',1062,R83,1626.6
16712.0,1,0.5,C,5,4,42,50,B1,'Regular',361,R23,109.38
16842.0,1,1.0,C,4,13,36,58,B2,'Regular',229,R53,1128.12
16939.0,1,0.68,E,5,4,46,50,B6,'Regular',4116,R24,3560.09
16948.0,2,0.75,D,4,8,56,61,B5,'Regular',1284,R25,1128.12
16948.0,2,0.75,D,4,8,56,61,B5,'Regular',1284,R25,78.4
16961.0,1,0.54,C,7,12,44,52,B1,'Regular',399,R24,1006.88
16962.0,1,0.19,C,7,13,44,65,B1,'Regular',399,R24,1128.12
16985.0,1,0.35,C,8,9,45,62,B14,'Diesel',151,R82,1128.12
17000.0,1,1.0,C,6,2,73,55,B2,'Diesel',105,R24,1021.82
17006.0,1,1.0,C,5,7,61,50,B1,'Regular',461,R53,1128.12
17023.0,1,1.0,C,7,8,53,50,B1,'Regular',121,R24,84.3
17087.0,1,0.19,B,7,0,44,50,B1,'Diesel',56,R25,1128.12
17125.0,1,1.0,A,8,7,65,62,B3,'Regular',44,R24,1128.12
17171.0,1,1.0,C,7,8,78,50,B1,'Regular',282,R24,109.56
17265.0,1,1.0,A,4,6,51,50,B2,'Regular',40,R24,1544.32
17279.0,1,1.0,C,4,8,76,52,B6,'Regular',405,R24,820.58
17288.0,1,0.59,D,6,1,69,50,B1,'Regular',741,R24,1128.12
17450.0,1,0.99,D,8,9,56,50,B1,'Diesel',1284,R25,1128.12
17520.0,1,1.0,A,5,1,72,50,B1,'Regular',48,R24,316.62
17599.0,1,0.39,A,6,10,55,50,B2,'Diesel',26,R52,1700.93
17635.0,1,1.0,D,5,1,72,50,B2,'Regular',581,R82,1128.12
17678.0,1,0.5,B,6,6,44,50,B1,'Diesel',56,R24,1128.12
17681.0,1,1.0,D,7,9,78,50,B1,'Regular',1284,R25,520.32
17711.0,1,0.49,A,6,5,50,50,B2,'Diesel',48,R53,16451.223999999962
17717.0,1,1.0,A,6,6,78,50,B1,'Regular',43,R54,1128.12
17850.0,1,0.75,C,4,10,50,50,B1,'Diesel',251,R25,92.99
17948.0,1,1.0,E,5,10,62,50,B1,'Regular',2563,R11,649.46
18037.0,1,0.67,A,7,2,53,62,B2,'Regular',13,R24,1128.12
18070.0,1,1.0,C,6,13,48,50,B5,'Regular',335,R24,258.15
18085.0,1,1.0,B,7,6,54,50,B2,'Regular',66,R24,1128.12
18134.0,1,1.0,A,15,1,73,50,B10,'Regular',10,R24,5468.42
18165.0,1,0.24,D,7,18,51,100,B1,'Regular',1313,R24,3714.99
18179.0,1,0.72,A,4,11,79,50,B1,'Regular',39,R24,16451.223999999962
18301.0,1,1.0,E,10,11,66,50,B12,'Diesel',4116,R24,2514.57
18417.0,1,0.5,B,5,5,53,50,B1,'Regular',94,R53,57.77
18464.0,1,1.0,D,7,14,63,50,B1,'Regular',1943,R24,10.16
18492.0,1,1.0,C,5,9,50,50,B5,'Diesel',399,R24,1128.12
18549.0,1,1.0,C,9,10,53,85,B1,'Regular',255,R24,1128.12
18698.0,2,1.0,C,6,12,86,50,B1,'Regular',227,R54,1128.12
18698.0,2,1.0,C,6,12,86,50,B1,'Regular',227,R54,1128.12
18718.0,1,1.0,A,6,4,67,50,B1,'Diesel',18,R24,1253.0
18735.0,1,1.0,E,5,8,56,50,B2,'Regular',8455,R82,1128.12
18748.0,1,1.0,A,11,11,48,50,B10,'Regular',49,R54,1128.12
18761.0,1,0.93,C,7,14,60,50,B2,'Regular',295,R24,367.49
18815.0,1,0.16,C,9,16,64,50,B2,'Regular',295,R24,13.38
18840.0,1,1.0,A,5,11,43,50,B2,'Diesel',44,R24,1128.12
18844.0,1,1.0,C,4,4,75,50,B2,'Regular',385,R24,7165.1
18854.0,1,0.34,B,6,0,52,50,B6,'Regular',50,R24,735.57
18869.0,1,0.79,A,7,8,43,50,B2,'Regular',16,R24,234.15
18916.0,1,0.33,B,10,7,49,50,B11,'Regular',73,R24,16451.223999999962
18926.0,1,1.0,A,7,10,67,55,B2,'Regular',48,R24,770.54
19064.0,1,1.0,A,6,9,53,50,B2,'Regular',24,R24,956.84
19170.0,1,1.0,A,12,5,51,50,B12,'Diesel',8,R52,1128.12
19190.0,1,1.0,C,5,1,79,50,B2,'Regular',240,R82,2703.84
19195.0,2,1.0,B,7,3,75,58,B2,'Regular',91,R24,4925.36
19195.0,2,1.0,B,7,3,75,58,B2,'Regular',91,R24,5925.6
19220.0,1,1.0,A,5,9,43,50,B4,'Diesel',35,R24,772.17
19280.0,1,0.24,E,7,0,54,50,B13,'Diesel',4116,R24,1232.63
19326.0,1,1.0,D,6,5,54,50,B5,'Regular',1102,R53,2332.41
19343.0,1,1.0,C,6,2,80,50,B2,'Regular',473,R53,1128.12
19374.0,1,1.0,D,4,12,49,50,B2,'Regular',522,R52,63.86
19424.0,1,0.87,C,6,1,71,62,B2,'Diesel',229,R53,1128.12
19525.0,1,1.0,B,4,11,86,50,B2,'Diesel',51,R24,1128.12
19548.0,1,1.0,C,7,13,73,50,B1,'Regular',182,R24,1128.12
19591.0,1,1.0,C,8,6,69,50,B2,'Regular',359,R53,679.91
19642.0,1,0.74,A,6,4,42,50,B2,'Diesel',28,R24,1057.94
19677.0,1,0.98,A,7,6,52,50,B1,'Diesel',44,R24,240.86
19731.0,1,0.16,A,12,12,45,62,B3,'Regular',10,R24,1128.12
19831.0,1,1.0,D,5,2,52,58,B3,'Diesel',1313,R24,1368.55
19857.0,1,0.75,B,4,15,72,50,B1,'Regular',57,R24,504.93
19871.0,1,1.0,C,7,11,87,69,B2,'Regular',399,R24,1128.12
19883.0,1,1.0,A,6,2,50,68,B2,'Diesel',32,R24,16451.223999999962
19887.0,2,1.0,A,5,17,58,102,B1,'Regular',44,R24,1128.12
19887.0,2,1.0,A,5,17,58,102,B1,'Regular',44,R24,1128.12
19962.0,1,1.0,C,7,14,55,50,B1,'Regular',111,R24,1128.12
20001.0,1,0.24,A,8,10,49,50,B10,'Regular',12,R24,4836.6
20012.0,1,1.0,B,7,5,51,50,B1,'Diesel',59,R24,215.84
20072.0,1,1.0,A,7,7,82,50,B1,'Regular',27,R24,500.0
20126.0,1,1.0,B,9,1,62,55,B1,'Regular',91,R24,1189.41
20299.0,1,1.0,A,6,6,69,50,B3,'Diesel',25,R24,1128.12
20319.0,1,1.0,C,8,1,45,50,B2,'Diesel',106,R24,402.79
20324.0,1,1.0,A,7,5,72,50,B2,'Regular',26,R24,1128.12
20394.0,1,1.0,E,5,6,46,76,B4,'Diesel',2007,R11,795.38
20462.0,1,1.0,B,11,6,42,50,B2,'Regular',74,R24,2163.72
20503.0,1,1.0,D,7,5,50,50,B1,'Diesel',1313,R24,2821.16
20513.0,1,1.0,A,4,21,68,50,B1,'Regular',30,R24,858.28
20558.0,1,1.0,C,7,12,68,50,B10,'Regular',270,R24,1128.12
20734.0,1,0.52,B,6,4,46,50,B2,'Diesel',50,R25,1128.12
20761.0,1,1.0,D,8,6,58,55,B13,'Diesel',575,R53,1128.12
20769.0,1,0.99,C,11,8,53,77,B13,'Regular',165,R53,1128.12
20778.0,1,1.0,D,6,5,71,76,B2,'Diesel',634,R53,1128.12
20867.0,1,0.96,C,4,15,54,50,B1,'Regular',473,R53,1128.12
20881.0,1,0.22,E,7,4,49,50,B2,'Diesel',4128,R52,3115.36
20918.0,1,1.0,E,5,14,49,55,B2,'Regular',4128,R52,1128.12
20924.0,1,1.0,C,7,10,47,50,B6,'Diesel',122,R25,569.2
20946.0,1,1.0,B,5,4,71,50,B1,'Regular',91,R52,716.23
21024.0,1,1.0,C,6,6,81,50,B13,'Diesel',112,R24,587.73
21039.0,1,1.0,B,6,11,50,51,B2,'Regular',60,R25,217.89
21060.0,1,0.42,C,6,12,42,50,B2,'Regular',133,R53,1128.12
21068.0,1,0.96,C,4,11,43,50,B1,'Regular',196,R25,1721.48
21155.0,1,0.37,A,4,10,78,50,B2,'Diesel',45,R24,10407.2
21180.0,1,1.0,C,6,3,51,57,B3,'Regular',287,R53,161.03
21222.0,1,1.0,D,4,10,54,50,B2,'Regular',1182,R82,1128.12
21271.0,1,1.0,E,7,14,84,50,B13,'Regular',9307,R82,1128.12
21292.0,1,0.36,F,5,8,56,50,B2,'Diesel',27000,R11,1128.12
21328.0,1,1.0,C,6,5,59,73,B2,'Diesel',270,R31,1128.12
21343.0,1,0.52,B,7,3,51,56,B1,'Diesel',71,R24,1128.12
21357.0,2,1.0,A,4,12,39,50,B3,'Diesel',32,R82,446.45
21357.0,2,1.0,A,4,12,39,50,B3,'Diesel',32,R82,1272.46
21359.0,1,1.0,A,4,1,54,50,B1,'Regular',40,R82,492.97
21432.0,1,1.0,C,4,4,70,52,B2,'Diesel',133,R82,1128.12
21462.0,1,0.22,C,4,5,69,50,B1,'Regular',473,R53,1152.45
21549.0,1,1.0,E,4,10,56,54,B5,'Regular',3386,R53,1128.12
21575.0,1,1.0,C,5,2,72,50,B1,'Regular',473,R53,1128.12
21602.0,1,1.0,F,5,1,58,64,B3,'Regular',27000,R11,133.39
21663.0,1,1.0,A,4,15,68,50,B1,'Regular',9,R24,1128.12
21701.0,1,1.0,A,4,8,39,50,B4,'Diesel',29,R24,75.32
21773.0,1,0.39,C,7,4,74,50,B1,'Diesel',155,R24,1128.12
21825.0,1,0.43,C,5,4,53,50,B4,'Diesel',128,R24,1085.44
21846.0,1,0.5,A,7,4,52,50,B2,'Regular',14,R24,3407.2
21856.0,1,1.0,C,6,2,77,50,B1,'Regular',399,R24,366.4
21905.0,1,0.74,C,6,1,58,50,B10,'Regular',399,R24,68.92
21940.0,1,1.0,A,6,6,65,62,B2,'Diesel',16,R24,1128.12
21969.0,1,1.0,A,7,11,55,90,B1,'Regular',30,R24,1247.73
21974.0,1,1.0,A,5,2,76,50,B2,'Regular',43,R24,1128.12
21988.0,1,1.0,A,7,15,51,50,B2,'Regular',25,R91,92.43
22044.0,1,1.0,C,5,12,62,50,B3,'Diesel',399,R24,1128.12
22079.0,1,1.0,C,7,5,63,50,B2,'Diesel',192,R24,71.47
22111.0,1,0.71,A,7,3,51,55,B3,'Diesel',9,R24,1128.12
22231.0,1,1.0,E,5,6,57,62,B4,'Diesel',4116,R24,1250.08
22234.0,1,1.0,C,6,3,41,50,B2,'Regular',270,R24,1320.24
22289.0,1,0.75,A,6,4,48,58,B1,'Diesel',13,R52,1128.12
22300.0,1,0.77,D,6,1,48,50,B2,'Regular',1064,R24,1957.96
22303.0,1,1.0,C,9,13,44,50,B11,'Diesel',394,R24,66.32
22350.0,1,0.72,B,5,0,64,50,B2,'Diesel',51,R24,2839.2
22364.0,1,1.0,A,6,3,47,50,B1,'Diesel',15,R26,914.09
22479.0,1,1.0,D,7,11,41,50,B1,'Regular',821,R24,139.65
22576.0,1,1.0,C,4,15,72,50,B2,'Regular',229,R53,1128.12
22652.0,1,1.0,E,6,3,38,50,B1,'Diesel',2103,R25,1128.12
22695.0,1,1.0,D,5,8,66,50,B5,'Regular',1192,R53,64.0
22729.0,1,1.0,C,8,6,45,50,B12,'Regular',473,R53,3921.13
22743.0,1,0.75,C,7,7,57,50,B5,'Regular',229,R53,1128.12
22752.0,1,1.0,C,6,2,58,50,B1,'Diesel',473,R53,400.15
22787.0,1,1.0,C,6,6,65,52,B1,'Regular',229,R53,1128.12
22816.0,1,0.88,C,5,6,52,50,B3,'Regular',473,R53,564.06
22838.0,1,1.0,C,7,3,56,50,B1,'Diesel',206,R93,1128.12
22870.0,1,1.0,E,5,5,43,50,B2,'Regular',4128,R52,462.01
22889.0,1,1.0,B,7,6,44,50,B2,'Diesel',77,R25,1128.12
22913.0,1,0.72,E,6,7,51,50,B1,'Regular',8884,R11,304.9
22925.0,2,1.0,D,6,9,80,50,B1,'Regular',1284,R25,264.4
22925.0,2,1.0,D,6,9,80,50,B1,'Regular',1284,R25,1128.12
22936.0,1,0.24,E,11,7,60,51,B2,'Regular',3386,R53,76.11
22965.0,1,1.0,C,7,7,49,67,B2,'Diesel',165,R53,1128.12
22984.0,1,1.0,C,6,2,66,50,B1,'Diesel',165,R53,1128.12
23018.0,1,1.0,C,7,16,51,50,B14,'Diesel',240,R82,867.21
23097.0,1,1.0,C,5,1,45,68,B2,'Regular',481,R82,1128.12
23145.0,1,1.0,E,6,11,69,50,B6,'Regular',3859,R82,1128.12
23150.0,1,1.0,D,7,2,72,50,B2,'Regular',600,R82,538.15
23164.0,1,1.0,E,7,11,51,50,B11,'Regular',3457,R82,208.13
23167.0,1,1.0,A,4,6,51,50,B6,'Regular',36,R11,62.56
23172.0,1,0.73,A,4,3,75,50,B1,'Regular',28,R82,1128.12
23236.0,1,1.0,D,5,1,59,50,B4,'Regular',609,R93,1128.12
23250.0,1,0.89,C,5,6,62,50,B1,'Regular',141,R82,79.13
23325.0,1,1.0,C,4,5,56,50,B6,'Regular',461,R53,42.76
23336.0,1,1.0,A,5,13,86,58,B2,'Regular',16,R24,1128.12
23370.0,1,0.97,C,6,2,79,50,B2,'Diesel',118,R24,2564.57
23397.0,1,0.63,D,5,9,36,50,B5,'Diesel',1064,R24,1128.12
23422.0,1,1.0,E,5,1,54,50,B10,'Diesel',3866,R24,7622.45
23427.0,1,1.0,C,6,4,50,50,B5,'Diesel',282,R24,1128.12
23433.0,1,1.0,D,9,12,53,50,B14,'Regular',1193,R24,1128.12
23459.0,1,0.87,A,4,3,46,50,B2,'Regular',28,R24,1128.12
23489.0,1,0.41,E,9,11,29,60,B10,'Diesel',3866,R24,3000.0
23514.0,1,0.66,B,7,4,49,50,B2,'Diesel',97,R24,84.09
23528.0,1,0.7,D,6,10,63,50,B1,'Diesel',1398,R24,7902.51
23586.0,1,0.26,C,7,11,33,50,B1,'Regular',374,R24,1472.37
23587.0,1,0.73,C,7,17,33,77,B1,'Regular',374,R24,1128.12
23692.0,1,1.0,F,6,11,50,50,B1,'Regular',10156,R11,1128.12
23707.0,1,0.16,A,5,16,35,68,B2,'Regular',39,R23,389.21
23730.0,1,0.42,A,6,0,50,50,B3,'Diesel',16,R74,1128.12
23891.0,1,1.0,B,5,3,29,76,B5,'Regular',87,R53,803.14
23895.0,1,1.0,D,5,4,33,51,B3,'Diesel',1690,R53,405.91
23945.0,1,0.37,A,7,0,31,83,B2,'Regular',34,R53,4817.74
23980.0,1,1.0,D,6,10,56,61,B3,'Diesel',747,R53,1387.24
23985.0,1,1.0,D,6,5,25,80,B1,'Regular',634,R53,672.48
24032.0,1,1.0,A,6,3,25,76,B3,'Regular',39,R53,1377.95
24072.0,1,1.0,B,6,3,41,50,B2,'Diesel',70,R53,564.06
24081.0,1,1.0,A,6,13,50,50,B3,'Regular',50,R53,97.13
24110.0,1,1.0,F,5,3,46,50,B1,'Diesel',22669,R11,2174.7
24144.0,1,1.0,B,6,7,35,68,B4,'Regular',51,R53,1128.12
24169.0,1,0.43,C,5,5,43,90,B3,'Diesel',133,R53,963.35
24313.0,1,1.0,B,8,3,52,55,B2,'Diesel',90,R24,1491.02
24346.0,1,0.66,A,6,0,60,50,B1,'Regular',20,R24,1865.73
24388.0,1,0.97,A,7,9,47,50,B2,'Diesel',44,R24,55.96
24415.0,1,1.0,B,7,5,74,52,B2,'Regular',78,R24,1128.12
24445.0,1,1.0,C,11,11,46,62,B13,'Regular',298,R24,7083.38
24478.0,1,0.83,A,4,0,76,50,B1,'Regular',22,R24,1128.12
24569.0,1,1.0,B,7,5,73,82,B2,'Regular',81,R24,50.46
24771.0,1,0.76,C,5,2,27,74,B3,'Diesel',255,R53,57.74
24783.0,1,0.56,D,10,3,30,64,B4,'Diesel',614,R24,135.7
24936.0,1,1.0,C,5,4,67,50,B1,'Regular',126,R24,700.0
24951.0,1,0.31,A,6,13,50,50,B2,'Diesel',29,R24,364.81
24992.0,2,1.0,B,6,6,23,112,B2,'Diesel',61,R24,1128.12
24992.0,2,1.0,B,6,6,23,112,B2,'Diesel',61,R24,1128.12
25040.0,1,0.09,B,6,13,33,80,B6,'Regular',67,R24,16451.223999999962
25068.0,1,1.0,C,8,13,46,50,B1,'Diesel',170,R24,1128.12
25071.0,1,1.0,B,4,4,50,60,B1,'Regular',50,R24,273.88
25130.0,1,1.0,A,5,2,54,50,B2,'Diesel',13,R24,431.18
25313.0,1,0.55,B,7,16,74,62,B1,'Regular',67,R24,1128.12
25395.0,1,0.7,A,5,10,20,95,B1,'Regular',5,R24,1128.12
25421.0,1,0.6,A,6,9,20,147,B2,'Diesel',16,R24,4749.75
25472.0,1,1.0,B,7,5,29,50,B1,'Diesel',67,R24,84.97
25489.0,1,1.0,A,6,6,63,50,B2,'Diesel',13,R24,1009.69
25509.0,2,0.84,C,7,9,24,112,B2,'Regular',295,R24,619.71
25509.0,2,0.84,C,7,9,24,112,B2,'Regular',295,R24,2673.31
25633.0,1,0.54,B,4,19,38,50,B1,'Regular',50,R24,1128.12
25729.0,1,0.79,C,7,4,42,50,B1,'Regular',213,R74,1393.49
25744.0,1,0.87,B,6,6,43,55,B1,'Diesel',64,R74,1128.12
25755.0,1,0.78,C,4,9,31,62,B2,'Diesel',213,R74,2081.53
25763.0,2,1.0,A,4,6,54,77,B2,'Diesel',10,R74,1128.12
25763.0,2,1.0,A,4,6,54,77,B2,'Diesel',10,R74,1128.12
25781.0,1,0.5,A,5,11,61,62,B3,'Regular',23,R74,466.51
25789.0,1,0.81,C,4,14,77,50,B2,'Regular',451,R52,1824.17
25799.0,1,0.2,C,8,13,27,72,B2,'Regular',213,R74,324.21
25838.0,1,0.25,B,7,0,38,53,B13,'Diesel',73,R82,1128.12
25847.0,1,1.0,A,6,11,45,56,B6,'Diesel',23,R74,696.7
25863.0,1,0.98,C,7,12,52,62,B1,'Regular',213,R74,1128.12
25882.0,1,0.78,A,5,8,33,54,B4,'Regular',25,R74,528.35
25890.0,1,0.7,A,14,12,29,67,B11,'Regular',27,R74,407.21
25906.0,1,0.28,F,7,4,27,60,B6,'Regular',10068,R11,1246.34
25916.0,1,1.0,A,9,10,48,58,B2,'Diesel',22,R74,264.53
25922.0,1,1.0,C,5,14,38,67,B6,'Regular',213,R74,1128.12
25942.0,1,0.76,C,7,10,27,85,B6,'Regular',208,R52,1128.12
25944.0,1,0.89,A,7,5,37,50,B1,'Diesel',10,R74,93.87
26156.0,1,1.0,E,10,2,58,50,B1,'Regular',4116,R24,1128.12
26242.0,1,1.0,A,6,14,75,50,B2,'Diesel',42,R52,1037.89
26255.0,1,0.65,D,6,1,34,54,B3,'Diesel',1729,R74,1128.12
26313.0,1,0.81,E,5,2,38,64,B2,'Regular',4128,R52,584.51
26380.0,1,1.0,B,10,9,46,55,B2,'Diesel',92,R52,991.68
26387.0,1,0.19,E,6,8,35,50,B1,'Diesel',3541,R52,1189.75
26395.0,1,1.0,B,4,6,22,95,B4,'Regular',51,R52,1128.12
26438.0,1,0.62,B,9,6,33,60,B1,'Regular',64,R52,241.34
26480.0,1,0.8,B,5,4,31,68,B3,'Diesel',91,R52,154.98
26551.0,1,0.5,B,6,8,34,53,B1,'Diesel',84,R52,1623.46
26584.0,1,0.16,C,4,13,47,50,B2,'Regular',405,R52,1128.12
26647.0,1,1.0,A,6,6,34,88,B1,'Diesel',31,R52,1128.12
26684.0,1,0.81,E,5,11,28,57,B6,'Regular',6736,R11,1128.12
